# i18n structural-drift baseline (opt-out ratchet) — see scripts/check-i18n-parity.mjs.
# Each line is a "<locale>	<doc-relpath>" whose translated heading structure was already out of
# sync with English when the strict-parity gate landed. This list may ONLY SHRINK: re-sync a doc and
# delete its lines. Never add a line for a doc you just changed — translate it instead.
ar	deployment/cloud-azure.md
ar	features/agent-studio.md
ar	features/ai.md
ar	features/copy-trading.md
ar	features/economic-calendar.md
ar	features/time-zone.md
ar	operations/node-discovery.md
ar	white-label-for-business.md
cs	features/ai.md
cs	features/copy-trading.md
cs	features/economic-calendar.md
cs	features/time-zone.md
de	features/agent-studio.md
de	features/copy-trading.md
de	features/economic-calendar.md
de	features/time-zone.md
el	features/agent-studio.md
el	features/ai.md
el	features/copy-trading.md
el	features/economic-calendar.md
el	features/time-zone.md
es	deployment/ai-providers.md
es	deployment/kubernetes.md
es	deployment/scaling.md
es	features/agent-studio.md
es	features/ai.md
es	features/copy-trading.md
es	features/time-zone.md
es	for-cloud-providers.md
es	testing/stress-testing.md
fr	features/copy-trading.md
fr	features/time-zone.md
hu	architecture.md
hu	deployment/cloud-aws.md
hu	deployment/cloud-azure.md
hu	features/copy-provider-marketplace.md
hu	features/copy-trading.md
hu	features/mcp.md
hu	features/pwa.md
hu	features/regime-lab.md
hu	features/time-zone.md
hu	testing/copy-trading-verification-run.md
hu	testing/failure-paths.md
hu	testing/fake-trading-session.md
id	deployment/cloud-azure.md
id	features/agent-studio.md
id	features/ai.md
id	features/compliance.md
id	features/contrarian-positioning.md
id	features/copy-execution-transparency.md
id	features/copy-notifications.md
id	features/copy-performance-fees.md
id	features/copy-provider-marketplace.md
id	features/economic-calendar.md
id	features/execution-tca.md
id	features/feature-toggles.md
id	features/localization.md
id	features/mcp.md
id	features/open-api-shared-app.md
id	features/position-sizing.md
id	features/regime-lab.md
id	features/strategy-health.md
id	features/time-zone.md
id	features/token-lifecycle.md
id	features/trading-journal.md
id	features/white-label-owner-settings.md
id	operations/logging.md
id	operations/node-discovery.md
id	testing/failure-paths.md
id	testing/stress-testing.md
it	features/copy-trading.md
it	features/time-zone.md
it	testing/stress-testing.md
ja	features/copy-trading.md
ja	features/time-zone.md
ko	deployment/cloud-azure.md
ko	features/copy-trading.md
ko	features/economic-calendar.md
ko	features/time-zone.md
ms	features/agent-studio.md
ms	features/copy-trading.md
ms	features/time-zone.md
ms	testing/stress-testing.md
pl	features/agent-studio.md
pl	features/ai.md
pl	features/copy-trading.md
pl	features/economic-calendar.md
pl	features/time-zone.md
pt-BR	deployment/cloud-aws.md
pt-BR	features/ai.md
pt-BR	features/economic-calendar.md
pt-BR	features/time-zone.md
ru	features/agent-studio.md
ru	features/ai.md
ru	features/copy-trading.md
ru	features/economic-calendar.md
ru	features/time-zone.md
ru	testing/live-copy-trading.md
sk	features/agent-studio.md
sk	features/ai.md
sk	features/compliance.md
sk	features/copy-trading.md
sk	features/dashboard.md
sk	features/economic-calendar.md
sk	features/time-zone.md
sk	features/two-factor-auth.md
sl	deployment/scaling.md
sl	features/agent-studio.md
sl	features/ai.md
sl	features/backtest-integrity.md
sl	features/copy-execution-transparency.md
sl	features/copy-notifications.md
sl	features/copy-performance-fees.md
sl	features/copy-trading.md
sl	features/economic-calendar.md
sl	features/execution-tca.md
sl	features/prop-firm.md
sl	features/strategy-health.md
sl	features/time-zone.md
sl	features/trading-journal.md
sl	testing/stress-testing.md
sl	ui-guidelines.md
sr	deployment/local.md
sr	features/README.md
sr	features/copy-trading.md
sr	features/prop-firm.md
sr	features/time-zone.md
sr	operations/logging.md
th	features/agent-studio.md
th	features/ai.md
th	features/copy-trading.md
th	features/economic-calendar.md
th	features/time-zone.md
tr	adr/0001-strict-ddd-pure-core.md
tr	adr/0002-tph-instance-replaces-entity.md
tr	adr/0003-external-nodes-http-jwt.md
tr	adr/0004-cbotbuilder-on-web-host.md
tr	adr/0005-anthropic-raw-http.md
tr	deployment/cloud-azure.md
tr	deployment/cloud.md
tr	features/README.md
tr	features/compliance.md
tr	features/economic-calendar.md
tr	features/mcp.md
tr	features/time-zone.md
tr	features/trading-journal.md
tr	testing/stress-testing.md
tr	ui-guidelines.md
vi	features/agent-studio.md
vi	features/ai.md
vi	features/economic-calendar.md
vi	features/time-zone.md
vi	for-cloud-providers.md
zh-Hans	features/agent-studio.md
zh-Hans	features/ai.md
zh-Hans	features/copy-trading.md
zh-Hans	features/economic-calendar.md
zh-Hans	features/time-zone.md
